"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"6e6dd85c-4753-4a80-8072-d4655826d2ed";"Springsnow Festival";"Hoewel de Nederlandse lentes anders doen vermoeden, is lentesneeuw geen zoveelste pak sneeuw: het is een deken van bloesem, die de stad jaarlijks bedekt zodra de lente aanbreekt. Het Springsnow Festival viert dit fenomeen jaarlijks in het voorjaar in Amsterdam.";"<h2>De Iepenroute tijdens het festival</h2> <br /> Een vast onderdeel van het <strong>Springsnow Festival</strong> is de acht kilometer lange iepenroute, van het iepenarboretum in Amsterdam-Noord (vlakbij het <a re_target=&quot:_blank&quot: target=&quot:_blank&quot: href=&quot:http://www.iamsterdam.com/nl/uit-in-amsterdam/zien-en-doen/musea-en-galeries/musea-in-amsterdam/eye-filmmuseum&quot:>EYE Filmmuseum)</a> naar de <a re_target=&quot:_blank&quot: target=&quot:_blank&quot: href=&quot:http://www.iamsterdam.com/nl/uit-in-amsterdam/zien-en-doen/attracties-en-bezienswaardigheden/lijst-van-attracties/hortus-botanicus-amsterdam--de-hortus&quot:>Hortus Botanicus</a>. Bij deze route doorkruis je het oostelijk deel van het centrum van Amsterdam, een prachtige manier om de stad in bloei te verkennen.<br /> <br /> Kijk te zijner tijd voor meer informatie op de <a re_target=&quot:_blank&quot: target=&quot:_blank&quot: href=&quot:http://springsnow.nl/&quot:>Springsnow Festival site</a>.";"Vr 20 april 2018 t/m zo 20 mei 2018 ma-zo: geopend, Toelichting: Data voor 2018 genoemd onder voorbehoud.";"Springsnow Festival";"Every year, Amsterdam?s elm trees scatter the city?s streets with a blanket of blossom that has come to be known as ?spring snow?. A true celebration of spring, the Springsnow Festival is set to return to the city in April/May.";"<h2>The Elm Route</h2> Traditionally central to the <strong>Springsnow Festival</strong> is the Elm Route, an 8km walking and cycling route from the elm arboretum in Amsterdam Noord (not far from the&nbsp:<a re_target=&quot:_blank&quot: href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/cinema-film-amsterdam/cinemas/eye-filmmuseum&quot: target=&quot:_blank&quot:>EYE Filmmuseum</a>) to the <a re_target=&quot:_blank&quot: href=&quot:http://www.iamsterdam.com/en/visiting/what-to-do/attractions-and-sights/overview-of-attractions/hortus-botanicus-amsterdam-botanical-garden&quot: target=&quot:_blank&quot:>Hortus Botanicus</a> one of the oldest botanical gardens in the world. Weaving through the eastern part of central Amsterdam, the route is a great way to explore the city in bloom. Additional programming and activities take place at various locations throughout the month-long celebrations.<br /> <br /> For more information and to download the route map, visit the <a re_target=&quot:_blank&quot: href=&quot:http://springsnow.nl/en/&quot: target=&quot:_blank&quot:>Springsnow festival</a>.";"Fr 20 April 2018 including Su 20 May 2018 Mo -Su: Open, Explanation: Dates for 2018 to be confirmed.";"";"2.4.1";"Diverse Locaties / Various locations";"AMSTERDAM";"Diverse locaties / Various locations";"1012 JS";"52,3726380";"4,8941060";"http://springsnow.nl/en/";"https://media.iamsterdam.com/ndtrc/Images/20140411/053a20ea-27f0-49b0-bcb7-6cd5d0b733a5.jpg,https://media.iamsterdam.com/ndtrc/Images/20140411/317494c0-d72e-483c-93bd-beb9adb46f49.jpg";"https://media.iamsterdam.com/ndtrc/Images/20140411/053a20ea-27f0-49b0-bcb7-6cd5d0b733a5.jpg";"20-04-2018";"20-05-2018";"";"";"2017-05-22 10:41:22";
"e56ff3f0-8991-4f7d-975a-4db014857220";"Vurige Tongen";"Het literaire festival Vurige Tongen neemt opnieuw in 2018 Ruigoord, het kunstenaarsdorpje vlakbij Amsterdam, in beslag om hier een fijn festival neer te zetten.";"<h2>Po&euml:zie en muziek</h2> Het festival begon ooit als po&euml:tisch festival en is uitgegroeid tot een zeer divers artistiek festival, met muziek, kindertheater en visuele kunst. Dit culturele muziekfestival biedt een platform aan schrijvers, rappers en andere woordkunstenaars van over de hele wereld. Daarnaast kun je genieten van live muziek, swingende dj&rsquo:s en diverse kinderactiviteiten.<br /> <br /> <h2>Po&euml:zie en beeldende kunst</h2> In 2017 is het festival gecombineerd met Openbare Werken en is er een bijzondere route te bewandelen langs de opengestelde ateliers met op iedere plek werk van beeldende kunstenaars en verschillende po&euml:tische of muzikale verrassingen. Ook is dit jaar het festival gratis toegankelijk. <br /> <br /> Bekijk de website van <a href=&quot:http://ruigoord.nl/evenementen/vurige-tongen-2015&quot: target=&quot:_blank&quot:>Ruigoord</a> voor meer informatie.";"Zo 20 mei 2018 12:00 uur, ma 21 mei 2018 12:00 uur, Toelichting: Data en tijden voor 2018 worden genoemd onder voorbehoud.";"Vurige Tongen";"This event will return in 2018. ";"<h2>Poetry slam, art and dub</h2> Vurige Tongen (&lsquo:Fiery Tongues&rsquo:) is a festival over the Whitsun weekend in the alternative arts village of Ruigoord, just outside Amsterdam. What began almost 15 years ago as a poetry festival (hence the &lsquo:fiery tongues&rsquo: of the title) has grown to become a fully-fledged arts festival, including music, children&rsquo:s theatre and visual art. The music programme at <strong>Vurige Tongen</strong> features oodles of <strong>reggae</strong> and <strong>dub</strong>, plus everything from <strong>hip-hop</strong> to <strong>blues</strong> to <strong>classical</strong>. Still, <strong>poetry</strong> takes centre stage, in both Dutch and English. There are a range of stages and venues, including a circus tent with children&rsquo:s performances. &nbsp:Dogs are not allowed, cars are permitted but discouraged for environmental reasons. <br /> <br /> The famous artists&rsquo: colony of Ruigoord, originally an entire squatted village, is a 50-minute cycle ride from the centre of Amsterdam, and there is a regular bus service from Station Sloterdijk or the Marnixstraat bus station.<br /> <br /> See the <a target=&quot:_blank&quot: href=&quot:http://ruigoord.nl/evenementen/vurige-tongen-2015&quot:>Ruigoord website</a> (in Dutch) for details and the full programme .";"Su 20 May 2018 12:00 hour, Mo 21 May 2018 12:00 hour, Explanation: Dates and times for 2018 are to be confirmed.";"";"2.4.1";"Ruigoord";"AMSTERDAM";"Ruigoord 76";"1047 HH";"52,4103320";"4,7490690";"http://ruigoord.nl/evenementen/vurige-tongen/";"https://media.iamsterdam.com/ndtrc/Images/e5/e56ff3f0-8991-4f7d-975a-4db014857220/c0b7ed3f-0edc-481a-9579-c1d16e92e87c.jpg,https://media.iamsterdam.com/ndtrc/Images/e5/e56ff3f0-8991-4f7d-975a-4db014857220/97b3df85-985e-43c1-a5c4-ab0826d8243b.jpg,https://media.iamsterdam.com/ndtrc/Images/e5/e56ff3f0-8991-4f7d-975a-4db014857220/4bc29a0b-8c09-42e5-8530-1af389a9fbdc.jpg";"https://media.iamsterdam.com/ndtrc/Images/e5/e56ff3f0-8991-4f7d-975a-4db014857220/c0b7ed3f-0edc-481a-9579-c1d16e92e87c.jpg";"";"";"20-05-2018,21-05-2018";"";"2017-06-06 10:24:19";
"34727130-06c5-4367-a3d8-bdd21cbb3b49";"Sneakerness";"Sneakerfreaks opgelet! Sneakerness, de wereldwijde sneakerconventie, strijkt na een rondreis langs Parijs, Zürich, Keulen en Warschau dit voorjaar weer neer bij de Kromhouthal in Amsterdam.";"<h2>Sneakercultuur in Amsterdam</h2> Tijdens dit gigantische sneakerevent komen grote internationale merken, winkels, verzamelaars en liefhebbers de mooiste sneakers en streetwear kopen en verkopen.&nbsp:Van klassiekers tot collector's items en de nieuwste releases: sneakerfans vinden hier precies wat ze zoeken.<br /> <br /> Bekijk de website van <a href=&quot:http://sneakerness.com/&quot: target=&quot:_blank&quot:>Sneakerness</a> voor meer informatie.";"Zo 3 juni 2018 12:00 - 19:00 uur, ma 4 juni 2018 12:00 - 18:00 uur, Toelichting: Datum onder voorbehoud.";"Sneakerness";"Attention sneaker freaks and trainer nerds: Sneakerness, the global sneaker convention, visits Amsterdam?s Kromhouthal.";"<h2>Sneaker culture </h2> Sneaker culture has always been an important part of street style and fashion, but in recent years, obsessives seem to have multiplied, and collecting rare models and following new releases is now a legitimate and popular hobby. Sneakerness gives a home to all those for who sneakers mean more than just a pair of shoes to throw on when going to the gym.";"Su 3 June 2018 12:00 - 19:00 hour, Mo 4 June 2018 12:00 - 18:00 hour, Explanation: Date to be confirmed.";"";"2.4.1";"Kromhouthal";"AMSTERDAM";"Gedempt Hamerkanaal 231";"1021 KP";"52,3828340";"4,9204560";"http://sneakerness.com/";"https://media.iamsterdam.com/ndtrc/Images/34/34727130-06c5-4367-a3d8-bdd21cbb3b49/1f256bb9-a8e8-4be9-9f2a-44418cc53da3.jpg";"https://media.iamsterdam.com/ndtrc/Images/34/34727130-06c5-4367-a3d8-bdd21cbb3b49/1f256bb9-a8e8-4be9-9f2a-44418cc53da3.jpg";"";"";"03-06-2018,04-06-2018";"";"2017-06-13 09:50:18";
"0d3ef997-08e8-46f8-b8db-fd070ad7e01c";"Dutch Raw Food Festival";"Het eten van rauw en onbewerkt voedsel staat centraal tijdens het  Dutch Raw Food Festival. Het jaarlijkse Dutch Raw Food Festival is terug in juni 2018.";"<h2>Culinair festival</h2> Het festival vindt plaats op Boerderij Langerlust bij de Gaasperplas en laat je kennis maken met rauwe delicatessen van meer dan vijftig verschillende kraampjes. Ook kun je diverse workshops, proeverijen en lezingen volgen.<br /> <br /> Bekijk te zijner tijd de website van <a re_target=&quot:_blank&quot: target=&quot:_blank&quot: href=&quot:http://www.rawfoodfestival.nl/&quot:>Raw Food Festival</a> voor data en meer informatie.";"Zo 17 juni 2018 11:00 - 14:00 uur, Toelichting: De datum en tijd voor 2018 genoemd onder voorbehoud.";"Dutch Raw Food Festival";"Raw food fever has swept the world and in keeping with the healthy trend, the annual Dutch Raw Food Festival returns to Amsterdam in June.";"<h2>Culinary festival</h2> Taking place at the beautiful quasi-rural location of the <g class=&quot:gr_ gr_8 gr-alert gr_spell gr_run_anim ContextualSpelling ins-del multiReplace&quot: id=&quot:8&quot: data-gr-id=&quot:8&quot:>Langerlust</g> farm by Amsterdam&rsquo:s Gaasperplas lake, the festival will introduce you to raw food delicacies with dozens of stalls, plus various workshops, tastings and talks.<br /> <br /> Check the <a re_target=&quot:_blank&quot: target=&quot:_blank&quot: href=&quot:http://www.rawfoodfestival.nl/&quot:>Raw Food Festival website</a> for tickets and more information.";"Su 17 June 2018 11:00 - 14:00 hour, Explanation: Date and time for 2018 need to be confirmed.";"";"2.4.1";"Boerderij Langerlust";"AMSTERDAM";"Provincialeweg 24";"1108 AB";"52,4362550";"4,8167080";"http://www.rawfoodfestival.nl";"https://media.iamsterdam.com/ndtrc/Images/20140522/6463fbb9-59ff-4d75-afb3-9a5e07ca4347.jpg";"https://media.iamsterdam.com/ndtrc/Images/20140522/6463fbb9-59ff-4d75-afb3-9a5e07ca4347.jpg";"";"";"17-06-2018";"";"2017-06-19 13:33:55";
"5e2a5c88-8241-4332-9a85-adbedefa3821";"Holland Festival";"Dit toonaangevende internationale podiumkunstenfestival vindt elk jaar plaats in Amsterdam. Het Holland Festival biedt theaterbezoekers sinds 1947 uitzonderlijke voorstellingen van topniveau. Op diverse locaties in Amsterdam in de maand juni.";"<h2>Vernieuwende cultuur in Amsterdam</h2> Het <strong>Holland Festival</strong> is een mix van podiumkunsten als (muziek)theater, muziek, dans, opera en muziek die samengaan met zowel westerse als niet-westerse kunstvormen. Ook is er aandacht voor beeldende kunst, literatuur en architectuur. De programmering benadrukt disciplinaire crossovers en bevat uitzonderlijke <strong>voorstellingen</strong> van topniveau. Het Holland Festival is altijd koploper geweest in het ondersteunen van moderne en niet-klassieke hedendaagse muziek en nieuwe kunstvormen in de wereld van het <strong>muziektheater</strong>.<br /> <br /> Bekijk hier ons overzicht van het <a href=&quot:http://www.iamsterdam.com/nl/search-results?trm=holland+festival&quot:>Holland Festival programma</a>. Bekijk ook onze <a href=&quot:http://www.iamsterdam.com/nl/uit-in-amsterdam/uit/agenda&quot:>culturele agenda</a> voor andere leuke evenementen!";"Meerdere data: Vanaf za 2 juni 2018 t/m zo 24 juni 2018 Toelichting: Data en tijden voor 2018 genoemd onder voorbehoud.";"Holland Festival";"A leading international performance arts festival in the Netherlands, the Holland Festival takes place in Amsterdam in June. Since 1947, the festival has been providing Dutch and international theatregoers with a survey of the latest, best and most widely acclaimed productions from around the world.";"<h2>Innovative theatre in Amsterdam</h2> <p>One of the highlights on Amsterdam&rsquo:s <a href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/on-stage&quot: target=&quot:blank&quot:>theatre and dance agenda</a>, this <a href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/festivals/overview-theatre-festivals&quot: target=&quot:blank&quot:>theatre festival</a> is held <g class=&quot:gr_ gr_8 gr-alert gr_gramm gr_run_anim Grammar multiReplace&quot: id=&quot:8&quot: data-gr-id=&quot:8&quot:>in</g> various locations in Amsterdam and offers a heady mix of <strong>theatre</strong>, <strong>music</strong>, <strong>opera</strong>, <strong>film</strong> and <strong>visual</strong> <strong>arts</strong>, as well as Western and non-Western <strong>performance</strong> pieces in a variety of languages. <g class=&quot:gr_ gr_9 gr-alert gr_spell gr_run_anim ContextualSpelling&quot: id=&quot:9&quot: data-gr-id=&quot:9&quot:>Its</g> programming consistently emphasises disciplinary crossovers and always includes works of the highest artistic standards. The festival has particularly been a frontrunner in supporting modern and non-classical contemporary music and new forms in musical theatre.</p> <p>Check our <a href=&quot:https://www.iamsterdam.com/en/visiting/whats-on/monthly-event-calendar/june/holland-festival&quot: target=&quot:blank&quot:>Holland Festival agenda</a> for inspiration or visit <a href=&quot:http://www.hollandfestival.nl/en/&quot: target=&quot:blank&quot:>hollandfestival.nl/en</a></p>";"Multiple data: from Sa 2 June 2018 to Su 24 June 2018 Explanation: Dates for 2018 to be confirmed.";"";"2.4.1";"Diverse locaties / various locations";"AMSTERDAM";"Diverse locaties / various locations";"1017 SG";"52,3615820";"4,8854790";"http://www.hollandfestival.nl/nl/,http://www.facebook.com/HollandFestival,http://www.hollandfestival.nl/en/";"https://media.ndtrc.nl/Images/5e/5e2a5c88-8241-4332-9a85-adbedefa3821/3848744e-953c-4ca2-a989-f2dc54e25a9b.jpg";"https://media.ndtrc.nl/Images/5e/5e2a5c88-8241-4332-9a85-adbedefa3821/3848744e-953c-4ca2-a989-f2dc54e25a9b.jpg";"";"";"02-06-2018,03-06-2018,04-06-2018,05-06-2018,06-06-2018,07-06-2018,08-06-2018,09-06-2018,10-06-2018,11-06-2018,12-06-2018,13-06-2018,14-06-2018,15-06-2018,16-06-2018,17-06-2018,18-06-2018,19-06-2018,20-06-2018,21-06-2018,22-06-2018,23-06-2018,24-06-2018";"";"2017-06-26 11:07:17";
"cbb509c8-7976-4b50-9e12-25cdb78dc952";"Kerkennacht";"Tijdens de landelijke Kerkennacht is er van alles te beleven in de meest pittoreske en belangrijke kerken van Nederland. De eerstvolgende Kerkennacht vindt in Amsterdam plaats op een zaterdag in juni 2018. Op die avond staan vele Amsterdamse kerken in de spotlights.";"<h2>Amsterdamse gebedshuizen</h2> Of je nu religieus bent of niet, Kerkennacht is een uitgelezen mogelijkheid om de meest indrukwekkende maar ook heel gewone gebedshuizen van de stad te ontdekken. Dwaal door de Oude Kerk (het oudste gebouw van Amsterdam), bewonder de schoonheid van de Nicolaasbasiliek, vaar af naar het pareltje van Nieuwendam, luister naar het orgel van 'de Boom', volg een rondleiding, of eet een hapje mee. Geniet van het interieur en de gastvrijheid, en laat je wijs maken door de verhalen.<br /> <br /> Kijk voor meer informatie op de website van <a re_target=&quot:_blank&quot: href=&quot:http://kerkennacht020.nl/&quot: target=&quot:_blank&quot:>Kerkennacht</a>.";"Vr 22 juni 2018, za 23 juni 2018, zo 24 juni 2018, Toelichting: Data en tijden voor 2018 genoemd onder voorbehoud.";"Church Night";"Church Night is a national night of activities around many of the most picturesque and important churches in the Netherlands. The event returns on a Saturday in June 2018.";"Whether you&rsquo:re religious or not, it&rsquo:s a fine opportunity to experience and learn more about the city&rsquo:s grandest places of worship. Special programming typically includes musical performances, film screenings and guided tours.";"Fr 22 June 2018, Sa 23 June 2018, Su 24 June 2018, Explanation: Dates and times for 2018 to confirmed.";"";"2.4.1";"Diverse kerken in Amsterdam";"AMSTERDAM";"Diverse locaties";"1012 GX";"52,3702150";"4,8951670";"http://kerkennacht020.nl/";"https://media.ndtrc.nl/Images/20121227/ed3e6cc2-6848-45fc-837e-e3fa17565015.jpg";"https://media.ndtrc.nl/Images/20121227/ed3e6cc2-6848-45fc-837e-e3fa17565015.jpg";"";"";"22-06-2018,23-06-2018,24-06-2018";"";"2017-06-26 12:17:38";
"f5865ad4-f55c-420b-a392-55655a3710d5";"Festival Sunsation";"Dit gratis festival viert op vrijdag 22 en zaterdag 23 juni 2018 de zomer met gesproken woord, in Observatorium Robert Morris in Lelystad.";"<h2>Gewaardeerd po&euml:ziefestival</h2> Tijdens het festival worden schrijvers, kunstenaars en dichters weer in de spotlights gezet. Het programma begint bij zonsopkomst en bevat een groot aantal auteurs en andere performers.  <br /> <br /> Bekijk te zijner tijd de website van het festival voor meer informatie en de volledige line-up.";"Vr 22 juni 2018 16:00 - 00:00 uur, za 23 juni 2018 05:00 - 09:00 uur.";"Festival Sunsation";"This free festival celebrates the summer solstice with spoken word. It?s taking place at the Observatorium Robert Morris near Lelystad on Friday 22 & Saturday 23 June 2018.";"<h2>Acclaimed poetry festival</h2> This festival lets writers, artists, and poets shine, featuring a huge range of authors and performers. <br /> <br /> The entire line-up and details can be found on the festival website. Please note that the majority of the action is in Dutch.";"Fr 22 June 2018 16:00 - 00:00 hour, Sa 23 June 2018 05:00 - 09:00 hour.";"";"2.4.1";"Festival Sunsation";"LELYSTAD";"Observatorium Robert Morris";"8221 RA";"52,5496850";"5,4867500";"http://www.festivalsunsation.nl";"https://media.ndtrc.nl/Images/20140501/0b3949a8-9f49-4ba1-a528-9068c5ec3385.jpg,https://media.ndtrc.nl/Images/20140501/d21a2fd0-930f-4b4f-8ae0-4b35c71d5670.jpg";"https://media.ndtrc.nl/Images/20140501/0b3949a8-9f49-4ba1-a528-9068c5ec3385.jpg";"";"";"22-06-2018,23-06-2018";"";"2017-06-30 14:52:18";
"76c9a6ca-6543-4dbf-a3d7-edec9d7eba87";"Stadspleinfestival";"Op het Stadsplein te Amstelveen keert het feestelijke Stadspleinfestival in 2018 terug.";"<h2>Stadspleinfestival</h2> Tijdens het Stadspleinfestival kun je genieten van muzikale optredens op meerdere podia, de culturele informatiemarkt, workshops en presentaties. In de Schouwburg Amstelveen is een groot paradijs voor kinderen met Kunst &amp: Kids met onder meer workshop circus en schermen. Het thema dit jaar is Fata Morgana. <p> Kijk voor meer informatie en het volledige programma op de website van het <a target=&quot:_blank&quot: href=&quot:http://www.stadspleinfestival.nl/&quot:>Stadspleinfestival</a> </p>";"Zo 17 juni 2018 12:00 - 22:30 uur, Toelichting: Datum onder voorbehoud.";"Stadspleinfestival";"";"";"Su 17 June 2018 12:00 - 22:30 hour.";"";"2.4.1";"Stadspleinfestival";"AMSTELVEEN";"Stadsplein 101";"1181 ZM";"52,3031270";"4,8588840";"http://www.stadspleinfestival.nl/";"https://media.ndtrc.nl/Images/20130809/a3d1040d-2382-4c1b-bd2f-8126f5a581c2.jpg";"https://media.ndtrc.nl/Images/20130809/a3d1040d-2382-4c1b-bd2f-8126f5a581c2.jpg";"";"";"17-06-2018";"";"2017-06-30 15:02:16";
"53e59806-0cd5-4880-84ff-ac8a9ca94fa7";"Havenfestival IJmond";"Tijdens dit gratis maritieme evenement kun je met de hele familie genieten van muziek, cultuur en entertainment. Het Havenfestival IJmond keert in de zomer terug. ";"<h2>Plezier aan zee</h2> Elk jaar staat de haven van IJmuiden in het teken van straattheater, pop-, wereldmuziek- en klassieke concerten, kunst, po&euml:zie en film. Daarnaast zijn er demonstraties van de brandweer, reddingsteams en duikers, kun je schepen van dichtbij bekijken en een boottochtje maken.<br /> <br /> <h2>Sfeervolle locatie</h2> De activiteiten vinden plaats op een passende, sfeervolle locatie: de Trawlerkade, tegenover de vuurtoren en vissershaven. Een industri&euml:le plek, waar kunst en cultuur beter passen dan je zou denken.<br /> <br /> Bekijk te zijner tijd de site van <a href=&quot:http://www.havenfestivalijmuiden.nl/&quot: target=&quot:_blank&quot: re_target=&quot:_blank&quot:>Havenfestival IJmuiden</a> voor meer informatie.";"Za 16 juni 2018 11:00 - 00:00 uur, zo 17 juni 2018 10:00 - 00:00 uur, Toelichting: Datum onder voorbehoud.";"Havenfestival IJmond";"This free nautical-themed harbour event provides music, culture and entertainment for the whole family, taking over the harbour at IJmuiden every year.";"<h2>Seaside entertainment</h2> The Harbour Festival IJmond traditionally invites several local and national bands to take to the stage. Alongside the music, there's a host of nautical activities in store including demonstrations by divers, the fire department, rescue teams and navigation displays. There's also the chance to explore ships and take boating trips. Each year sees a new theme, reflected in the programming.<br /> <br /> <h2>A stunning setting</h2> The festival is set directly in the middle of the harbour in IJmuiden: all the activities take place at the Trawlerkade, right up to the lighthouse and fishing harbour. On weekdays, the harbour is filled with the hustle and bustle of the fishing and shipping industry but during the weekend, pedestrians and cyclists are drawn to the harbour to marvel at all the boats and ships. You wouldn&rsquo:t normally associate the harbour and its users with the world of the performing arts!";"Sa 16 June 2018 11:00 - 00:00 hour, Su 17 June 2018 10:00 - 00:00 hour.";"";"2.4.1";"Vissershaven, Trawlerkade";"IJMUIDEN";"Trawlerkade";"1976 CB";"52,4600720";"4,5870580";"http://www.havenfestivalijmuiden.nl";"https://media.ndtrc.nl/Images/20120302/9ce445be-e39e-4294-aa28-314ed292925a.jpg,https://media.ndtrc.nl/Images/20120302/106b1865-ccd4-4171-99cb-93443f74114f.jpg,https://media.ndtrc.nl/Images/20120302/d390dfd4-6b83-46a1-8bbb-cb90a3f6a7ad.jpg";"https://media.ndtrc.nl/Images/20120302/9ce445be-e39e-4294-aa28-314ed292925a.jpg";"";"";"16-06-2018,17-06-2018";"";"2017-06-30 15:11:18";
"c2f74e8b-2e95-465b-a789-e6a4d52ccad2";"Keti Koti Festival";"Op 1 juli 1863 werd de slavernij afgeschaft in de toenmalige koloniën Suriname en de Nederlandse Antillen. Amsterdam, met haar talrijke inwoners van Surinaamse en Antilliaanse komaf, viert dit uitgebreider dan welke stad ook, en biedt ieder jaar op 1 juli onderdak aan het Keti Koti Festival. ";"<h2>Eervolle herdenking</h2> Toen de slavernij in 1863 werd afgeschaft werden de bevolking van de Nederlandse Antillen en Suriname vrijgesteld. Antilliaanse en Surinaamse Nederlanders dragen bij aan de kleur en persoonlijkheid van Amsterdam en vormen een belangrijk aandeel van de culturele smeltkroes die de stad vandaag de dag is. <br /> <br /> Sinds 1 juli 2000 is er een nationale slavernijherdenking in het Oosterpark, vaak bijgewoond door de burgemeester van Amsterdam en vele betrokkenen, nazaten en ge&iuml:nteresseerden.&nbsp:<br /> <br /> <h2>Keti Koti Festival</h2> Het jaarlijkse Keti Koti festival zorgt voor een vrolijkere sfeer. Keti Koti betekent &lsquo:Verbroken Ketenen&rsquo: in het Surinaams, en symboliseert de afschaffing van de slavernij. Het Keti Koti Festival viert jaarlijks vrijheid, gelijkheid en verbondenheid met een kleurrijke explosie van vreugde in het Oosterpark. Op verschillende podia zijn multiculturele muziek- en dansoptredens van onder andere de legendarische reggaeband Steel Pulse en op het hele plein kan men genieten van traditioneel eten en drinken, lezingen, films, een Caribische markt en kunst.&nbsp:<br /> <br /> Bekijk de <a href=&quot:http://www.ketikotiamsterdam.nl/index.html&quot:>Keti Koti website</a> voor meer informatie en het volledige programma.";"Zo 1 juli 2018, Toelichting: Tijd voor 2018 nog niet bekend.";"Keti Koti Festival";"1 July 1863 marked freedom for the Surinamese from slavery. Nowhere is that more celebrated than in Amsterdam, home to a thriving Surinamese community and host to the Keti Koti Festival. Come celebrate and commemorate this rich culture and its people through food, music, dance and ceremony on 1 July.";"<h2>A festival of commemoration and celebration</h2> <p>With the abolition of slavery in 1863, the Surinamese people were finally emancipated from slavery in the Netherlands Antilles (formerly Dutch West Indies) and in Suriname. Today the people from these communities provide a key aspect of the colour and personality of Amsterdam, and are an integral ingredient in the city&rsquo:s melting pot. As for the festival, <strong>Keti Koti</strong>, meaning 'Broken Chains' in Surinamese, is a free celebration of liberty, equality and solidarity. And it just keeps on getting bigger and better each year.</p> <h2>Rewriting legacies</h2> <p>For the full programme, visit the <a href=&quot:http://www.ketikotiamsterdam.nl/&quot: target=&quot:_blank&quot:>Keti Koti Festival</a>.</p>";"Su 1 July 2018.";"";"2.4.1";"Oosterpark";"AMSTERDAM";"Oosterpark";"1092 AT";"52,3599580";"4,9203280";"http://www.ketikotiamsterdam.nl/";"https://media.ndtrc.nl/Images/20130321/474ea5de-d7c2-4818-b4ce-065419776e3c.jpg,https://media.ndtrc.nl/Images/20130321/e35028ca-2b1b-47d5-b20c-d55966b83d26.jpg,http://www.youtube.com/v/ekHowRcKCw0";"https://media.ndtrc.nl/Images/20130321/474ea5de-d7c2-4818-b4ce-065419776e3c.jpg";"";"";"01-07-2018";"";"2017-07-04 10:32:25";
